timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,new_device,ip_address,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,month,weekday,hour
2022-10-03 18:40:59.468549+00:00,us,usd,cad,atm,278.19,278.19,4.25,1.351351,False,221.78.171.180,us,False,0.123,standard,263,0.522,0,0.223,0,0,0.0,0,10,0,18
2022-10-03 20:39:38.468549+00:00,ca,cad,mxn,web,208.51,154.29,4.24,12.758621,True,120.12.20.29,ca,False,0.569,standard,947,0.475,0,0.268,0,1,0.0,0,10,0,20
2022-10-03 23:02:43.468549+00:00,us,usd,cny,mobile,160.33,160.33,2.7,7.142857,False,223.96.181.93,us,False,0.437,enhanced,367,0.939,0,0.176,0,0,0.0,0,10,0,23
2022-10-04 01:08:53.468549+00:00,us,usd,eur,mobile,59.41,59.41,2.22,0.925926,False,186.228.15.74,us,False,0.594,standard,147,0.551,0,0.391,0,0,0.0,0,10,1,1
2022-10-04 09:35:03.468549+00:00,us,usd,inr,mobile,200.96,200.96,3.61,83.333333,False,11.82.47.62,us,False,0.121,enhanced,257,0.894,0,0.257,0,0,0.0,0,10,1,9
2022-10-04 12:09:59.468549+00:00,us,usd,gbp,mobile,526.9,526.9,8.75,0.8,False,191.142.136.198,us,False,0.094,low,616,0.702,0,0.361,0,0,0.0,0,10,1,12
2022-10-04 12:37:41.468549+00:00,ca,cad,gbp,mobile,149.24,110.44,2.33,0.592,False,106.34.98.71,ca,False,0.299,standard,947,0.625,0,0.268,0,0,0.0,0,10,1,12
2022-10-04 16:27:44.468549+00:00,ca,cad,inr,web,276.51,204.62,5.59,61.666667,False,32.170.54.208,ca,False,0.087,standard,1041,0.867,0,0.245,0,1,0.12,0,10,1,16
2022-10-04 21:00:36.468549+00:00,us,usd,eur,mobile,99.52,99.52,2.41,0.925926,False,109.242.237.91,us,False,0.182,enhanced,367,0.939,0,0.176,0,0,0.0,0,10,1,21
2022-10-04 21:20:42.468549+00:00,us,usd,php,web,302.55,302.55,5.26,58.823529,False,103.237.21.29,us,False,0.413,standard,1016,0.944,0,0.247,0,0,0.1,1,10,1,21
